Jan_1,Feb_1,Mar_1,Apr_1,May_1,Jun_1,Jul_1,Aug_1,Sep_1,Oct_1,Nov_1,Dec_1
985.0197922,951.1751608,914.8626917,957.8735774,938.1308758,986.0774369,1405.609847,1526.533894,1407.02004,1107.001484,941.6563582,903.5811479
985.7248887,945.1818407,912.0423058,948.0022266,925.0865908,951.1751608,1361.893864,1479.997526,1339.330777,1071.041564,931.4324592,885.9537358
1001.58956,950.4700643,909.9270163,943.4190995,921.5611084,939.893617,1325.228847,1443.685057,1304.075952,1048.125928,925.0865908,889.8317665
1036.139287,965.2770905,919.0932707,964.9245423,940.5987135,937.7783276,1335.100198,1435.928996,1312.53711,1060.112568,926.849332,919.4458189
1139.788471,1010.403266,953.6429985,1031.55616,1000.884463,933.5477486,1354.8429,1435.928996,1380.93147,1124.981445,934.6053934,1012.518555
1286.801089,1080.912914,1002.294656,1128.506927,1072.099208,943.4190995,1435.928996,1426.762741,1454.966601,1194.433449,947.6496784,1145.429243
1347.086838,1145.429243,1044.952994,1178.921326,1124.276348,999.8268184,1551.917368,1490.573973,1562.493815,1246.258041,960.6939634,1186.677387
1305.486145,1173.280554,1083.380752,1191.260515,1130.269668,1076.329787,1667.553191,1578.711034,1678.129639,1303.723404,992.7758535,1161.293914
1232.508659,1155.653142,1104.886195,1189.145225,1130.622217,1153.537853,1778.958436,1686.943345,1786.714498,1381.989114,1017.454231,1134.500247
1184.20955,1130.622217,1087.963879,1197.958931,1137.673182,1242.38001,1904.465611,1795.175656,1918.567541,1489.16378,1043.190252,1121.103414
1153.185304,1097.83523,1070.336467,1202.18951,1139.435923,1318.882979,2023.626917,1854.403761,2052.888422,1610.440376,1060.112568,1112.642256
1129.212024,1072.451757,1062.580406,1200.074221,1135.205344,1387.629886,2135.384711,1908.343642,2174.870114,1727.838941,1068.926274,1098.892875
1107.706581,1053.7667,1049.536121,1205.362444,1128.154379,1446.505443,2221.406482,1970.392133,2274.641267,1841.006927,1082.675656,1090.431717
1093.957199,1042.485156,1043.542801,1203.247155,1144.01905,1508.201385,2313.774122,2065.580158,2350.439139,1931.259278,1102.065809,1080.207818
1087.611331,1035.081643,1044.600445,1187.029936,1150.364918,1552.269916,2378.995547,2148.076447,2412.840178,1991.192479,1116.520287,1061.875309
1091.489362,1043.895349,1055.529441,1179.273874,1167.639782,1592.812964,2406.141762,2191.439881,2432.230332,1992.95522,1136.968085,1086.201138
1170.460168,1072.099208,1085.84859,1196.548738,1169.755072,1619.254082,2378.642999,2180.510886,2407.551954,1922.093023,1178.568778,1199.369124
1280.102672,1167.639782,1172.575458,1229.688273,1155.653142,1576.595745,2288.0381,2110.353785,2316.594508,1847.352796,1287.153637,1273.404255
1266.000742,1170.460168,1234.976497,1314.299852,1201.131865,1520.188026,2192.850074,2039.844137,2248.552697,1781.778822,1267.763483,1245.200396
1245.200396,1135.91044,1205.714993,1287.153637,1211.355764,1511.37432,2143.49332,2019.396338,2147.371351,1666.848095,1203.247155,1239.207076
1204.657348,1093.604651,1144.371598,1231.451014,1178.21623,1430.640772,2043.017071,1934.079664,2016.928501,1554.737754,1124.981445,1175.748392
1117.577932,1035.081643,1048.831024,1115.81519,1105.238743,1283.980703,1868.153142,1805.399555,1831.488125,1385.514597,1039.66477,1084.085849
1031.203612,977.6162791,956.8159327,1023.095002,1026.267937,1141.551212,1699.98763,1688.353538,1660.502227,1244.495299,973.0331519,985.0197922
991.0131123,943.0665512,913.805047,977.6162791,969.5076695,1059.054923,1580.826324,1563.55146,1550.507175,1143.313953,940.9512618,930.7273627
