Jan_1,Feb_1,Mar_1,Apr_1,May_1,Jun_1,Jul_1,Aug_1,Sep_1,Oct_1,Nov_1,Dec_1
713.2,711.7,572.9,4.8,0,680.2,155.2,77.4,652.8,0,659.9,392.1
712.8,712.1,591.5,40.1,0,667,210.9,96.4,574.3,0,673.7,408.2
708.4,712.3,484.8,17.3,37.3,661.8,232.3,66.7,594.7,0,673.5,224.5
710.7,712.1,418.5,12.5,19.4,662.8,536.8,71.1,647.6,0,678.8,136.3
701.4,712.1,513.9,14.8,15.2,641.6,513.2,113.7,644,0,700.8,119.5
682.5,712.2,449.2,0.2,27,672.6,477.4,144.8,673.5,0,706.7,39.6
614.7,710.6,436.7,0,54.3,686.9,558.8,131.8,680.1,0,707.5,0
517.7,706.6,166.3,0.3,48.1,554,364.9,100.7,680.8,0,707.7,0
426.6,711.8,659.8,3.1,42.8,210.8,163.8,27.2,618.1,0,704.4,0
274.2,713.5,682.5,7.2,39.5,4.5,47.9,10.7,532.7,0,704.3,0
93,696.1,625.2,24.6,38.1,3.6,0.3,11.9,483.4,0,704,0
6.3,680.8,221.2,52.9,35,10.5,0.1,21.9,451.8,6.7,698.3,0
3.8,679.7,401.7,127.3,24.1,14,1.8,25.4,463.3,15,707.7,0
1.1,713.3,246.2,182.3,16,6.5,2,41,447.8,22.6,705.1,0
0,683.3,196.3,182.4,18.6,4.5,0.1,87,502.7,37.9,713.5,147.8
0,662.1,183,184.5,25.8,6.8,0,105.4,529.6,40.9,705.7,229.9
0.9,671.6,407.6,203.6,7.2,52.9,13.2,128,580.3,27.5,708.7,280.3
276.3,669.8,179,580.3,20.7,15.1,24.3,35,581.4,61.2,705.7,271.8
272.9,649.9,578.5,604.6,48.7,6.8,0,46.1,626.7,90,699,248.5
345.6,621.6,679.8,631,44,2.4,0,57.9,587.6,119.2,678.5,224.1
411.7,637.8,706.5,643,50.1,0,0,61.6,713.2,136.6,688.8,224.5
376.6,629.4,708.8,665.2,80.5,0,0,31.7,693.2,152,622.9,222.5
561.3,629.2,712.8,675.3,63.7,0,4.7,51.8,670.1,155.5,551.9,223.3
568.4,629.1,713.5,646.9,20.1,19.2,103.4,201,639.2,124.7,411.3,220.7
