first,second
5,"[1199, 2477, 2324, 2450, 1224, 4687, 1222, 4371, 1555, 866, 2150, 861, 2225, 466, 3736, 93, 1940, 4316, 2474, 2292, 5543, 5172, 2494, 849, 3389, 3738, 87, 1030, 1191, 3725, 4130, 3198, 2651, 3590, 5542, 1893, 3017, 1558, 2475, 131, 5794, 280, 4143, 2991, 2239, 4848, 857, 337, 3353, 1540, 815, 2470, 3599, 809, 4859, 1935, 3225, 657, 5577, 144, 2995, 4311, 1965, 3350, 16, 859, 2672, 5554, 836, 1917, 1574, 4069, 1920, 2496, 23, 2598, 3235, 1939, 3565, 1562, 3766, 1404, 109, 1209, 4463, 4107, 1741, 856]"
16,"[2298, 65, 49, 48, 1777, 2637, 838, 2600, 1140, 1480, 1192, 2987, 1523, 2552, 3013, 2868, 671, 1462, 1497, 2622, 3199, 1761, 1097, 1100, 100, 313, 1922, 1427, 317, 694, 4085, 670, 353, 478, 1094, 867, 3233, 3011, 2595, 1204, 3719, 2973, 699, 755, 1763, 2141, 432, 725, 831, 4106, 2267, 2658, 2274, 800, 1062, 5067, 470, 1904, 477, 801, 2858, 2500, 3967, 88, 1881, 3730, 1489]"
20,"[1461, 743, 5953, 3223, 1915, 396, 2242, 1228, 5070, 3409, 1541, 2635, 1782, 2511, 3622, 1911, 2675, 805, 1018, 4707, 5546, 643, 1014, 798, 2115, 4067, 4790, 357, 2317, 2556, 4708, 700, 1748, 1521, 1774, 1193, 3699, 1174, 34, 1909, 416, 4729, 1878, 1075, 1963, 2279, 3987, 834, 1557, 5162, 4076, 2655, 853, 2264, 4733, 2212, 2940, 1831]"
12,"[4588, 1659, 6831, 6410, 3503, 6013, 4956, 3524, 1694, 6731, 948, 4622, 5334, 1661, 6789, 6444, 5995, 5322, 6040, 4953, 4243, 3500, 3151, 4949, 3510, 6798, 6016, 5683, 5653, 4238, 3157, 6467, 5665, 6407, 3508, 6438, 5994, 6084, 6075, 6056, 3528, 4606, 3894, 3150, 5678, 6000, 6484, 5680, 4928, 5713, 6832, 6063, 5310, 6788, 6409, 6730, 5358, 5309, 6078, 3152, 6810, 4253]"
24,"[4029, 2851, 3346, 3587, 2468, 6533, 1405, 5219, 5536, 6886, 1143, 5056, 1550, 300, 5963, 887, 5202, 5443, 2640, 4850, 5228, 1227, 4485, 1038, 873, 5209, 5214, 642, 1042, 2936, 4001, 3772, 810, 1053, 3050, 2567, 6865, 2142, 4332, 5165, 3380, 5025, 1177, 1226, 510, 5079, 4458, 621, 1530, 459, 4145, 6203, 3359, 1375, 2833]"
8,"[4581, 2423, 3911, 5844, 5344, 5456, 4885, 6658, 610, 6225, 4346, 6252, 491, 6503, 2397, 6109, 1304, 339, 5881, 6218, 4348, 1871, 6213, 4360, 2027, 2434, 6892, 3327, 5497, 2815, 3431, 2536, 5946, 6335, 5238, 4020, 2562, 2976, 1849, 3645, 196, 1089, 5493, 774, 6594, 1956, 3396, 6155, 6600, 2, 6579, 5340, 6182, 4531, 6575, 5268, 5831, 4745, 5058, 5654, 4419]"
17,"[6310, 3721, 5144, 6543, 1087, 2199, 5818, 1839, 6939, 2584, 4353, 2956, 1437, 4889, 5878, 5427, 5383, 5053, 773, 4739, 3647, 6675, 609, 4030, 4692, 2686, 715, 1571, 703, 4718, 1874, 1458, 5046, 881, 3991, 4744, 4004, 6684, 5517]"
1,"[1776, 4467, 397, 4, 4066, 3352, 3015, 5076, 392, 1058, 450, 829, 3005, 5069, 2137, 2166, 1060, 5194, 1945, 4103, 2221, 1452, 419, 758, 3634, 80, 5439, 2232, 1526, 2989, 2594, 2620, 693, 3672, 4044, 399, 3955, 2985, 1424, 2252, 2663, 3243, 2879, 1517, 384, 45, 729, 2181, 2157, 69, 40, 434, 1400, 1486, 26, 303, 1822, 1049, 2604, 3682, 2516, 5072, 3356, 710, 3595, 21, 371, 431, 1432, 71, 1519, 90, 1096, 370, 4083, 4341, 2608, 426]"
19,"[5377, 5671, 5288, 3518, 3827, 5351, 5279, 4999, 3840, 6415, 4948, 2752, 6792, 5244, 4609, 4914, 5663, 2766, 6807, 2789, 4907, 2780, 1691, 4950, 3841, 1693, 2786, 6479, 4944, 5697, 5998, 2754, 4577, 6740, 5297, 4925, 4941, 2414, 6010, 3465, 2418, 3863, 3466, 4262, 952, 6416, 5281, 4610, 3137, 4228, 3853, 5303, 3901, 5374, 2403, 6395, 6717, 5617, 4590, 5285, 3458, 2741, 5352, 5325, 6112, 3484, 4945, 6372]"
22,"[6618, 5457, 6195, 6591, 2952, 3329, 6199, 4013, 5828, 6914, 4764, 5824, 5135, 6235, 2968, 6611, 6930, 4756, 6581, 5823, 5822, 6926, 6933, 6273, 5123, 6268, 4758, 6163, 6224, 5887, 5153]"
23,"[6497, 3160, 4917, 6101, 1311, 2797, 5343, 6093, 5722, 5703, 2387, 3109, 4269, 4608, 3856, 4593, 4256, 6014, 6099, 1299, 3556, 6386, 6343, 6390, 6486, 2790, 5259, 2738, 1367, 2739, 1335, 2781, 6749, 3498, 1312, 953, 5657, 3885, 6105, 4224, 2744, 6782, 5642, 5644, 1666, 6102, 6094, 6840, 4916, 5638, 6472, 6369, 4268, 5000, 6064, 6002]"
6,"[1429, 1017, 2861, 1785, 5038, 1944, 3673, 5248, 3296, 3759, 3263, 2871, 1814, 1150, 778, 3391, 5769, 497, 1951, 2559, 3934, 2167, 1949, 1117, 6896, 1513, 3258, 5893, 5249, 4102, 3285, 2226, 1587, 2266, 5894, 4727, 3571, 4438, 3341, 6304, 6704, 4072, 2835, 4149, 3261, 4135, 4786, 864, 6241, 2310, 1232, 4883, 5515, 2261, 2839, 2832, 2517, 846, 4354, 1900, 1414, 3331, 4081, 5464, 3971, 1464]"
