K, exp, clid, cost
12, 1, 1, 5593, 0.08425698656949154
12, 1, 2, 3530, 0.05204891559938412
12, 1, 3, 5915, 0.07508964182438087
12, 1, 4, 4872, 0.07816014502784412
12, 1, 5, 1673, 0.0452266147101601
12, 1, 6, 1088, 0.10178597704254941
12, 1, 7, 4294, 0.0668841820094935
12, 1, 8, 47, 0.06052953765491866
12, 1, 9, 5700, 0.07203714585747725
12, 1, 10, 1052, 0.09521211800984859
12, 1, 11, 6097, 0.06595985665325658
12, 1, 12, 3719, 0.07649866627755296
12, 2, 1, 3684, 0.06582026367898099
12, 2, 2, 6409, 0.06606020808510557
12, 2, 3, 1480, 0.0702086062142019
12, 2, 4, 6122, 0.07402118716132047
12, 2, 5, 3938, 0.07485292726779592
12, 2, 6, 6914, 0.12818332240293726
12, 2, 7, 2324, 0.07298496488546867
12, 2, 8, 2817, 0.11585992601366779
12, 2, 9, 4945, 0.059549051159762084
12, 2, 10, 4896, 0.07851794812643526
12, 2, 11, 6634, 0.04604551558012723
12, 2, 12, 5497, 0.1110065936993079
12, 3, 1, 4882, 0.06269915648887998
12, 3, 2, 3374, 0.06793432191911347
12, 3, 3, 6142, 0.0546137821013896
12, 3, 4, 5577, 0.06313805714057118
12, 3, 5, 4911, 0.0646543526622396
12, 3, 6, 1458, 0.09502997653854457
12, 3, 7, 6797, 0.08810320267932999
12, 3, 8, 1047, 0.09642770721604005
12, 3, 9, 2959, 0.07274850361074621
12, 3, 10, 5897, 0.11116897174554681
12, 3, 11, 2367, 0.05791259493726979
12, 3, 12, 4573, 0.07227079707440084
12, 4, 1, 2725, 0.057286173494161804
12, 4, 2, 2965, 0.08447288484767747
12, 4, 3, 1824, 0.07712902676191177
12, 4, 4, 3104, 0.10047082977554456
12, 4, 5, 3864, 0.06259535556046195
12, 4, 6, 3754, 0.06295720806852359
12, 4, 7, 1485, 0.08835168498602805
12, 4, 8, 4336, 0.09279926928314047
12, 4, 9, 2872, 0.05389101277685012
12, 4, 10, 3489, 0.07649588511313324
12, 4, 11, 4288, 0.05317477982687553
12, 4, 12, 2298, 0.07849846450383836
12, 5, 1, 6565, 0.07826428511147832
12, 5, 2, 6409, 0.08160897132546263
12, 5, 3, 3393, 0.06403278273429545
12, 5, 4, 1533, 0.11198214597109081
12, 5, 5, 4386, 0.09540168174758136
12, 5, 6, 4664, 0.06652333404328611
12, 5, 7, 3090, 0.0741549206948281
12, 5, 8, 3992, 0.11120401360116117
12, 5, 9, 1233, 0.07941474910689826
12, 5, 10, 5069, 0.08805157197703355
12, 5, 11, 928, 0.06250688423183093
12, 5, 12, 4307, 0.05385472662956371
24, 1, 1, 2034, 0.08472022795372079
24, 1, 2, 162, 0.052076870566292205
24, 1, 3, 6023, 0.035150469714629734
24, 1, 4, 1052, 0.08144390053985388
24, 1, 5, 5911, 0.04496784753751753
24, 1, 6, 3977, 0.07496948578751379
24, 1, 7, 2959, 0.07759690304138676
24, 1, 8, 107, 0.06980983038528867
24, 1, 9, 169, 0.07480896538744808
24, 1, 10, 2402, 0.08334898943990099
24, 1, 11, 6605, 0.09930080039044228
24, 1, 12, 6053, 0.08412972725566197
24, 1, 13, 6392, 0.0388683974440366
24, 1, 14, 1580, 0.08189012862824865
24, 1, 15, 2726, 0.05936013719597088
24, 1, 16, 259, 0.07687008459407964
24, 1, 17, 1913, 0.06589014910683945
24, 1, 18, 4817, 0.08022212068455321
24, 1, 19, 5546, 0.08843653373004841
24, 1, 20, 4724, 0.11708689262432158
24, 1, 21, 47, 0.06652487437891004
24, 1, 22, 2250, 0.08056472983445262
24, 1, 23, 3346, 0.11229276422539924
24, 1, 24, 1535, 0.07607656180288506
24, 2, 1, 5194, 0.09231636398264896
24, 2, 2, 6053, 0.08560111562906872
24, 2, 3, 1649, 0.09016104274202942
24, 2, 4, 4188, 0.025654562632447673
24, 2, 5, 109, 0.07832882913205036
24, 2, 6, 6896, 0.0696887078116911
24, 2, 7, 4358, 0.0936871638550436
24, 2, 8, 5831, 0.04468422846209687
24, 2, 9, 870, 0.059432994970071845
24, 2, 10, 4753, 0.12109615372429197
24, 2, 11, 3637, 0.07684502860533277
24, 2, 12, 6063, 0.06744779002689594
24, 2, 13, 4896, 0.07631612734746662
24, 2, 14, 2544, 0.11702172423667968
24, 2, 15, 4728, 0.08256408682009658
24, 2, 16, 4106, 0.054400918641071966
24, 2, 17, 5427, 0.09835144838319304
24, 2, 18, 389, 0.07264458953861537
24, 2, 19, 2754, 0.05003911583236097
24, 2, 20, 5546, 0.09577828067094046
24, 2, 21, 4939, 0.054775991194366574
24, 2, 22, 6199, 0.1299701199861938
24, 2, 23, 6472, 0.06988450646756705
24, 2, 24, 6865, 0.09944215973115014
24, 3, 1, 3283, 0.07009136165107745
24, 3, 2, 5071, 0.07456909590802373
24, 3, 3, 6791, 0.049041291254721626
24, 3, 4, 4689, 0.05600110941364504
24, 3, 5, 4188, 0.03707869742498323
24, 3, 6, 3830, 0.07894987275500479
24, 3, 7, 6896, 0.06962026326784175
24, 3, 8, 4859, 0.06618130986790505
24, 3, 9, 4368, 0.11727195491233217
24, 3, 10, 2188, 0.11269467591865626
24, 3, 11, 6142, 0.07112290890897405
24, 3, 12, 3116, 0.0439359453441753
24, 3, 13, 5897, 0.13284411059809476
24, 3, 14, 870, 0.06089277458871012
24, 3, 15, 5055, 0.054923839423384115
24, 3, 16, 5628, 0.09531039679062188
24, 3, 17, 2959, 0.05892035764918614
24, 3, 18, 2797, 0.07644932030742367
24, 3, 19, 2157, 0.10325096343839074
24, 3, 20, 2250, 0.06657014524465447
24, 3, 21, 5685, 0.0519441472622828
24, 3, 22, 350, 0.1109587053300747
24, 3, 23, 5433, 0.09780904426931179
24, 3, 24, 2341, 0.03328222633414661
24, 4, 1, 126, 0.06639154452227403
24, 4, 2, 3858, 0.08109879286995095
24, 4, 3, 6776, 0.05768490943664844
24, 4, 4, 2965, 0.09560962880638174
24, 4, 5, 2872, 0.07692242417323228
24, 4, 6, 4391, 0.0649440730181783
24, 4, 7, 1824, 0.08964374972638504
24, 4, 8, 4432, 0.0738809894678432
24, 4, 9, 3337, 0.09215277636417489
24, 4, 10, 4689, 0.05049885707931491
24, 4, 11, 5646, 0.049699193300599506
24, 4, 12, 4288, 0.06806954650113409
24, 4, 13, 4935, 0.05647980315542026
24, 4, 14, 1082, 0.07732580330047514
24, 4, 15, 5194, 0.08962414115966705
24, 4, 16, 115, 0.10843043963506306
24, 4, 17, 1302, 0.061989329197017676
24, 4, 18, 4420, 0.11162484585248966
24, 4, 19, 4791, 0.11727970797505402
24, 4, 20, 991, 0.06939437461336044
24, 4, 21, 3411, 0.05237685711078688
24, 4, 22, 6569, 0.06017177871401853
24, 4, 23, 2861, 0.09424743533317896
24, 4, 24, 5889, 0.06216843892313705
24, 5, 1, 1978, 0.050068033202095706
24, 5, 2, 3117, 0.055947205483849786
24, 5, 3, 5343, 0.08807983982353723
24, 5, 4, 2355, 0.05006493192578412
24, 5, 5, 1043, 0.10733722284640265
24, 5, 6, 3393, 0.062038865246143486
24, 5, 7, 191, 0.05614492005215654
24, 5, 8, 2877, 0.11600412961806919
24, 5, 9, 2819, 0.06779142322596653
24, 5, 10, 3530, 0.05979261354419236
24, 5, 11, 392, 0.12470690519092295
24, 5, 12, 325, 0.06634579905626015
24, 5, 13, 6286, 0.10478954248648088
24, 5, 14, 4728, 0.09521463341055364
24, 5, 15, 1556, 0.06899280551965914
24, 5, 16, 2908, 0.10891982723098309
24, 5, 17, 4420, 0.19765474305836
24, 5, 18, 4741, 0.08570458763102047
24, 5, 19, 6772, 0.07111324114751265
24, 5, 20, 5076, 0.043289192510712116
24, 5, 21, 6774, 0.07087082428347927
24, 5, 22, 2341, 0.05057243685454393
24, 5, 23, 5457, 0.06680778716723008
