nclusters,expid,counts
12,1,"[154, 149, 130, 142, 183, 35, 185, 133, 89, 90, 48, 120]"
12,2,"[111, 88, 115, 184, 151, 22, 143, 107, 167, 155, 132, 83]"
12,3,"[183, 115, 115, 126, 173, 88, 84, 138, 103, 29, 155, 149]"
12,4,"[192, 57, 98, 122, 97, 157, 74, 127, 99, 168, 140, 127]"
12,5,"[49, 81, 104, 103, 75, 177, 211, 124, 130, 124, 131, 149]"
24,1,"[54, 84, 78, 64, 37, 72, 61, 71, 70, 66, 31, 28, 106, 29, 105, 79, 58, 66, 64, 64, 46, 36, 51, 38]"
24,2,"[78, 19, 61, 85, 88, 66, 9, 61, 79, 56, 70, 62, 110, 24, 64, 67, 39, 59, 68, 58, 93, 31, 56, 55]"
24,3,"[47, 81, 67, 43, 115, 30, 83, 74, 23, 40, 50, 110, 21, 91, 46, 52, 63, 44, 59, 46, 58, 68, 46, 101]"
24,4,"[64, 86, 62, 42, 82, 54, 83, 58, 35, 33, 91, 81, 53, 67, 59, 55, 88, 4, 62, 81, 54, 58, 64, 42]"
24,5,"[87, 73, 26, 87, 77, 77, 67, 50, 72, 79, 50, 74, 32, 74, 85, 38, 4, 62, 22, 85, 69, 89, 15, 64]"
