first,second
5,"[6310, 4029, 3721, 2851, 5144, 3346, 3223, 3587, 1140, 1405, 2199, 5456, 5536, 1839, 1143, 3623, 93, 3457, 4388, 2584, 6851, 4850, 4889, 2511, 1911, 5573, 1018, 5808, 3061, 1038, 4893, 3431, 3107, 5946, 4067, 1725, 1033, 355, 4030, 2556, 280, 2333, 4503, 715, 3050, 2142, 2229, 432, 1193, 5904, 1075, 1177, 3626, 2348, 4744, 4004, 2778, 4372, 1530, 2264, 2506, 459, 4884, 6247, 1209, 4463, 5176, 1831, 5233, 2833]"
16,"[6497, 518, 4948, 2363, 3075, 5995, 6439, 6040, 2789, 4950, 4949, 2786, 3510, 4657, 6479, 2321, 4944, 5413, 1990, 4238, 5697, 6438, 4925, 4941, 5994, 6084, 1367, 5738, 3465, 3466, 237, 4610, 4982, 3462, 178, 6000, 1714, 1727, 568, 577, 2090, 5399, 2757, 3901, 1690, 3134, 5310, 6717, 989, 5309, 277, 4988, 6112, 206, 6854]"
20,"[1255, 5288, 571, 1630, 6410, 163, 5279, 4864, 1996, 4173, 2752, 5743, 4594, 6792, 6252, 5244, 2399, 3377, 5663, 6346, 2062, 2710, 520, 6866, 2703, 2016, 5730, 6747, 3868, 4903, 3907, 3369, 3776, 2719, 3062, 5259, 6881, 1987, 1623, 4618, 1587, 5281, 3735, 4722, 4684, 4538, 5572, 4136, 2764, 6184, 6070, 6130, 5303, 3944, 5644, 579, 1984, 1726, 3440, 5788, 3859, 6395, 487, 2017, 6409, 5617, 4590, 3458, 480, 5245, 3094]"
12,"[5671, 2388, 3217, 4581, 6543, 4939, 3673, 1685, 2446, 3296, 5415, 1669, 3263, 924, 2635, 1814, 5745, 5254, 6331, 4629, 199, 5250, 805, 551, 5546, 6637, 5418, 643, 2383, 6548, 5421, 798, 2679, 642, 1513, 1302, 6480, 2055, 6107, 5913, 2056, 2591, 4148, 171, 700, 3294, 4332, 3439, 2837, 5023, 6347, 4728, 2061, 34, 416, 5984, 281, 5884, 3341, 6704, 4072, 6473, 1953, 4135, 6241, 3112, 6514, 709, 1316, 2261, 2085, 3132, 3889, 2834, 834, 6575, 909, 6122, 4188, 1689, 5057, 846, 6472, 853, 5986, 5517, 4161]"
24,"[6101, 1311, 5343, 3503, 2022, 543, 6415, 2387, 6861, 3842, 4269, 5334, 1661, 6444, 4608, 3856, 534, 547, 1637, 4206, 4593, 1639, 5322, 5414, 3841, 1299, 1306, 5683, 6373, 6343, 5019, 205, 6390, 2815, 2806, 6344, 2790, 2738, 3528, 2418, 4250, 1312, 3863, 6416, 5657, 3885, 5678, 3196, 6105, 246, 1341, 6484, 5680, 4224, 2744, 1668, 216, 4928, 1666, 3809, 6063, 192, 2030, 906, 6763, 5638, 4268, 6730, 2741, 944]"
8,"[4140, 2298, 65, 4066, 4080, 49, 2477, 1777, 2637, 838, 1222, 4371, 1480, 6634, 1192, 2987, 2552, 1940, 3013, 671, 1462, 1497, 2622, 2989, 2594, 2620, 1761, 1097, 1100, 3622, 849, 313, 2985, 1427, 694, 873, 4085, 5214, 1030, 353, 478, 1094, 3243, 3233, 3011, 3017, 2595, 131, 1204, 3719, 699, 755, 2181, 3353, 1763, 3687, 815, 2141, 725, 2470, 4106, 1822, 5577, 2267, 2121, 2658, 800, 2672, 470, 1904, 5554, 836, 2598, 4458, 3235, 2858, 2500, 4449, 3967, 109, 1780, 1881, 3730, 6215]"
17,"[1461, 450, 2191, 4687, 170, 2166, 6886, 1523, 5194, 5070, 4316, 3713, 1541, 1452, 5582, 5527, 2232, 5543, 4044, 6706, 3391, 100, 2675, 1922, 3955, 200, 2167, 4370, 6935, 1893, 357, 1558, 5804, 4848, 5251, 69, 4708, 6865, 1035, 6316, 809, 4859, 4919, 6304, 3417, 4729, 3356, 4311, 4786, 1965, 2830, 2279, 877, 5937, 3283, 3766, 993, 4083, 4145, 3663, 4162, 5464, 1464]"
1,"[1199, 6131, 2384, 1633, 3114, 4911, 4508, 2242, 3575, 499, 5976, 4615, 2325, 4295, 4190, 508, 3042, 5164, 1357, 940, 6844, 4553, 485, 4707, 1225, 6517, 1603, 3753, 1042, 6177, 4664, 3395, 3198, 1622, 3258, 5641, 3590, 1280, 3082, 4102, 5589, 2266, 4860, 3384, 1671, 4143, 2290, 4559, 233, 5817, 537, 5165, 3225, 4228, 4672, 3450, 3371, 3350, 4883, 1281, 1388, 3426, 1917, 1585, 2496, 3987, 5420, 23, 1604, 1734, 2777, 2517, 3213, 5203, 3837, 4107, 119, 541]"
19,"[6530, 3637, 6646, 3552, 4282, 5499, 6220, 1865, 4346, 4353, 5443, 6109, 2640, 6682, 6745, 3651, 5529, 4497, 5383, 5297, 2536, 2414, 6166, 5448, 2936, 4739, 4767, 2117, 5493, 5155, 4296, 2172, 3159, 4718, 4827, 3396, 1174, 5479, 1458, 1878, 32, 5025, 881, 6579, 3991, 3943, 1474, 3910, 5929, 5098, 5798, 3781, 6299, 5119, 5210, 5590, 524]"
22,"[397, 392, 5953, 1087, 1915, 2575, 6939, 1826, 1080, 1437, 1804, 4348, 5878, 1954, 380, 1517, 6638, 2223, 4001, 2526, 337, 3694, 2922, 303, 3643, 1049, 2604, 5426, 4149, 5072, 981, 1920, 371, 6265, 4397, 4061, 4733, 1375, 426, 5719]"
